split,img_path,img,text,label,emotion,emotion_score,irony_score,humor_score,tone_v2
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\42953.png,img/42953.png,its their character not their color that matters,0.0,confusion,0.14171120524406433,0.1339721828699112,0.024114992916584012,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\23058.png,img/23058.png,don't be afraid to love again everyone is not like your ex,0.0,love,0.14140941202640533,0.07810165733098984,0.09890394553542137,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\13894.png,img/13894.png,putting bows on your pet,0.0,caring,0.12328077852725983,0.7827394604682922,0.14089310288429258,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\37408.png,img/37408.png,i love everything and everybody! except for squirrels i hate squirrels,0.0,realization,0.11618102341890335,0.45943501591682434,0.08269830286502837,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\82403.png,img/82403.png,"everybody loves chocolate chip cookies, even hitler",0.0,excitement,0.11992941796779633,0.8358360528945923,0.22240814030170442,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\16952.png,img/16952.png,go sports! do the thing! win the points!,0.0,excitement,0.3174615204334259,0.16663141548633575,0.22047056704759596,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\76932.png,img/76932.png,fine you're right. now can we fucking drop it?,0.0,confusion,0.14343945682048798,0.08312120288610458,0.014961816519498823,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\70914.png,img/70914.png,tattoos are bad for your health i know 5 million people that had tattoos and they all died,0.0,disappointment,0.13702169060707092,0.48956260085105896,0.08812126815319062,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\02973.png,img/02973.png,how long can i run? till the chain tightens,0.0,curiosity,0.13100901246070862,0.03401936963200569,0.006123486533761024,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\58306.png,img/58306.png,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",0.0,confusion,0.168672576546669,0.20263217389583588,0.036473791301250454,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\79351.png,img/79351.png,jew mad? get fuhrerious!,1.0,anger,0.2777796685695648,0.1045226901769638,0.018814084231853483,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\34096.png,img/34096.png,"removes polish with chemicals, nobody bats an eye",0.0,relief,0.11318644881248474,0.6567113399505615,0.1861199104785919,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\25489.png,img/25489.png,brother... a day without a blast is a day wasted,1.0,disappointment,0.16156825423240662,0.08297168463468552,0.014934903234243391,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\19324.png,img/19324.png,when you're the only dog left at the dog shelter and the black family wants to adopt you,0.0,desire,0.16795136034488678,0.7592781782150269,0.13667007207870482,irony
